Coche,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chevrolet - Cruze,0.26/1049,0.21/1251,0.11/1310,0.23/1815,0.13/1831,0.3/1938,0.12/1464,0.28/1914,0.25/1746,0.29/1205,0.29/1335,0.18/1614,0.25/1235,0.24/1647,0.22/1405,0.26/1912,0.18/1945,0.16/1607,0.11/1190,0.19/1226,0.2/1507,0.23/1790,0.23/1617,0.22/1705,0.16/1851
Honda - Civic,0.27/1636,0.16/1683,0.21/1959,0.29/1792,0.2/1974,0.29/1400,0.17/1255,0.23/1675,0.3/1388,0.25/1339,0.24/1120,0.21/1989,0.28/1327,0.23/1243,0.13/1767,0.16/1161,0.16/1713,0.25/1918,0.28/1512,0.13/1970,0.26/1710,0.17/1653,0.23/1875,0.19/1472,0.27/1592
Volkswagen - Golf,0.17/1663,0.11/1955,0.26/1149,0.14/1289,0.23/1003,0.1/1676,0.11/1190,0.15/1165,0.13/1516,0.12/1881,0.19/1862,0.23/1303,0.16/1591,0.14/1200,0.2/1466,0.26/1951,0.26/1265,0.12/1687,0.27/1420,0.28/1010,0.12/1494,0.25/1689,0.27/1805,0.27/1881,0.19/1274
Toyota - Corolla,0.21/1431,0.25/1930,0.27/1456,0.28/1321,0.19/1867,0.29/1472,0.13/1027,0.29/1721,0.16/1607,0.11/1052,0.25/1852,0.14/1462,0.28/1813,0.28/1200,0.15/1190,0.14/1842,0.14/1661,0.22/1810,0.16/1307,0.11/1165,0.19/1012,0.19/1150,0.25/1320,0.13/1473,0.25/1945
Volkswagen - Jetta,0.24/1978,0.23/1979,0.27/1333,0.29/1272,0.27/1150,0.2/1223,0.26/1576,0.18/1333,0.25/1710,0.23/1091,0.28/1869,0.1/1034,0.21/1414,0.16/1357,0.29/1915,0.14/1495,0.24/1694,0.26/1508,0.12/1160,0.16/1090,0.3/1908,0.25/1140,0.14/1348,0.16/1841,0.29/1506
Chevrolet - Malibu,0.26/1327,0.29/1355,0.2/1533,0.22/1893,0.18/1461,0.21/1760,0.28/1401,0.22/1708,0.2/1862,0.14/1953,0.26/1922,0.2/1118,0.12/1105,0.16/1229,0.23/1832,0.16/1106,0.29/1859,0.23/1219,0.26/1383,0.16/1176,0.28/1968,0.21/1383,0.2/1587,0.11/1169,0.26/1972
Chevrolet - Equinox,0.29/1979,0.16/1424,0.24/1841,0.14/1894,0.26/1751,0.24/1016,0.23/1724,0.26/1450,0.16/1859,0.3/1125,0.2/1904,0.1/1983,0.16/1502,0.21/1716,0.26/1961,0.27/1979,0.21/1303,0.15/1345,0.12/1110,0.14/1096,0.13/1764,0.13/1189,0.27/1030,0.28/1357,0.17/1851
Toyota - Prius,0.25/1159,0.24/1970,0.29/1337,0.24/1312,0.12/1000,0.2/1417,0.19/1572,0.3/1813,0.19/1019,0.21/1811,0.25/1278,0.23/1384,0.18/1709,0.15/1570,0.16/1431,0.22/1648,0.2/1584,0.17/1645,0.21/1236,0.21/1126,0.25/1953,0.15/1624,0.16/1748,0.26/1699,0.11/1537
Volkswagen - Passat,0.3/1322,0.11/1673,0.17/1655,0.22/1102,0.15/1663,0.26/1176,0.13/1199,0.12/1433,0.14/1115,0.15/1500,0.15/1092,0.24/1491,0.21/1136,0.29/1243,0.26/1940,0.1/1416,0.28/1066,0.16/1863,0.19/1701,0.19/1530,0.16/1921,0.17/1773,0.13/1674,0.24/1747,0.23/1968
Ford - Escape,0.29/1795,0.29/1125,0.18/1483,0.26/1363,0.14/1514,0.17/1974,0.27/1261,0.24/1130,0.29/1638,0.16/1840,0.12/1724,0.11/1841,0.15/1705,0.28/1058,0.2/1722,0.23/1600,0.21/1962,0.2/1446,0.16/1044,0.1/1701,0.2/1062,0.26/1026,0.21/1814,0.19/1501,0.25/1663
Toyota - Camry,0.2/1195,0.15/1694,0.25/1065,0.24/1951,0.17/1835,0.28/1851,0.11/1416,0.26/1252,0.16/1504,0.26/1788,0.22/1764,0.3/1011,0.27/1432,0.23/1779,0.21/1612,0.15/1734,0.25/1148,0.21/1404,0.11/1068,0.22/1393,0.19/1925,0.18/1147,0.1/1037,0.2/1707,0.25/1479
Honda - Accord,0.2/1249,0.11/1904,0.28/1482,0.14/1879,0.18/1847,0.19/1680,0.16/1051,0.23/1641,0.28/1618,0.24/1809,0.16/1069,0.16/1695,0.12/1025,0.29/1963,0.2/1348,0.29/1576,0.28/1446,0.28/1983,0.21/1698,0.22/1544,0.17/1618,0.27/1530,0.14/1190,0.16/1347,0.18/1053
Volkswagen - Tiguan,0.3/1990,0.15/1618,0.19/1125,0.15/1188,0.18/1596,0.27/1077,0.24/1020,0.25/1740,0.16/1239,0.14/1978,0.26/1841,0.19/1502,0.25/1962,0.22/1646,0.2/1540,0.13/1514,0.28/1998,0.28/1145,0.11/1871,0.14/1737,0.18/1400,0.28/1136,0.22/1181,0.14/1854,0.24/1191
Honda - CR-V,0.15/1821,0.13/1257,0.18/1781,0.19/1674,0.14/1177,0.18/1569,0.12/1517,0.12/1623,0.17/1371,0.13/1885,0.1/1150,0.26/1341,0.16/1193,0.12/1143,0.2/1577,0.2/1174,0.19/1078,0.16/1327,0.2/1854,0.18/1252,0.14/1081,0.13/1960,0.28/1326,0.15/1786,0.14/1787
Toyota - RAV4,0.28/1264,0.19/1764,0.28/1079,0.15/1024,0.22/1096,0.26/1622,0.2/1979,0.17/1146,0.19/1332,0.25/1983,0.3/1896,0.15/1941,0.16/1380,0.13/1005,0.18/1385,0.22/1351,0.16/1887,0.24/1394,0.21/1809,0.23/1097,0.12/1477,0.29/1176,0.2/1360,0.28/1693,0.22/1458
Honda - Pilot,0.2/1054,0.24/1036,0.25/1971,0.12/1517,0.12/1723,0.22/1502,0.28/1266,0.24/1022,0.29/1437,0.1/1146,0.28/1335,0.2/1318,0.13/1096,0.12/1362,0.17/1776,0.19/1981,0.28/1372,0.12/1963,0.1/1063,0.19/1326,0.3/1008,0.14/1270,0.24/1368,0.23/1942,0.2/1606
